Duration,Franchise,Cluster
102,53.46,9
42,83.16,10
130,41.58,8
225,59.4,7
61,53.46,5
11,47.52,3
167,17.82,14
64,41.58,5
60,35.64,15
194,35.64,7
143,17.82,0
22,47.52,18
3,14.44,11
27,29.7,1
107,83.16,17
83,124.74,13
20,35.64,1
73,5.94,16
35,32.68,15
63,100.98,17
26,5.94,4
113,23.76,0
183,29.7,14
93,23.76,9
13,47.52,3
32,59.4,10
47,59.4,5
108,65.34,17
143,35.64,8
106,29.7,9
40,71.28,10
102,35.64,9
82,17.82,15
68,5.94,16
46,17.82,15
29,29.7,1
102,9.57,16
100,11.88,16
70,47.52,5
31,53.46,18
72,17.82,15
64,11.88,16
67,23.76,15
47,11.88,16
53,59.4,5
40,35.64,15
89,17.82,0
37,17.82,4
107,17.82,0
32,17.82,4
37,83.16,10
109,29.7,9
26,59.4,10
198,5.94,14
117,11.88,0
29,10.64,4
176,23.76,14
104,42.18,9
73,89.1,17
69,47.52,5
18,65.34,3
45,23.76,15
93,29.7,9
156,77.22,12
18,59.4,3
67,10.64,16
61,10.64,16
57,35.64,15
52,11.88,16
61,11.88,16
138,29.7,8
80,11.88,16
50,17.82,15
126,11.88,0
21,5.94,4
32,106.92,3
165,17.82,14
10,8.36,11
20,41.58,18
17,65.34,3
68,35.64,15
49,53.46,5
33,35.64,15
63,23.76,15
106,28.5,9
94,9.57,16
25,9.57,4
100,9.57,16
97,9.57,16
123,17.82,0
47,53.46,5
166,65.34,12
20,59.4,3
95,83.16,17
108,47.52,9
113,65.34,12
194,95.04,2
16,12.54,4
11,9.57,11
97,41.58,9
97,29.7,9
17,77.22,3
98,47.52,9
13,5.94,4
56,11.88,16
85,59.4,5
110,83.16,17
66,77.22,17
94,35.64,9
76,77.22,17
27,89.1,3
25,23.76,1
14,77.22,3
122,47.52,9
24,23.76,1
102,23.76,0
147,59.4,12
186,5.94,14
22,11.88,4
36,17.82,4
23,77.22,3
184,5.94,14
25,8.36,4
71,49.4,5
50,42.18,5
12,9.57,4
87,9.57,16
96,53.46,9
120,23.76,0
122,11.88,0
39,47.52,5
215,11.88,6
25,11.88,4
75,23.76,15
156,11.88,0
18,47.52,18
35,29.7,15
10,59.4,3
66,9.57,16
18,53.46,3
70,89.1,17
63,29.7,15
32,47.52,18
57,41.58,5
190,5.94,14
76,23.76,15
71,9.57,16
52,41.58,5
65,41.58,5
43,77.22,10
72,47.52,5
44,41.58,15
96,41.58,9
39,17.82,4
56,35.64,15
10,65.34,3
31,9.57,4
62,29.7,15
102,65.34,17
61,23.76,15
80,29.7,15
98,41.58,9
24,95.04,3
35,28.5,15
84,9.57,16
72,9.57,16
207,47.52,7
123,41.58,9
125,118.8,13
85,23.76,9
49,71.28,10
57,53.46,5
245,47.52,7
62,77.22,17
29,53.46,18
13,41.58,18
61,89.1,17
91,53.46,5
62,41.58,5
57,5.94,16
99,11.88,16
12,47.52,3
37,89.1,10
69,29.7,15
221,41.58,7
17,47.52,18
106,35.64,9
24,118.8,3
102,17.82,0
56,17.82,15
108,35.64,9
20,29.7,1
9,12.54,11
32,27.36,1
84,23.76,9
119,41.58,9
38,17.82,4
12,59.4,3
90,35.64,9
149,5.94,0
40,8.36,16
50,12.54,16
18,18.24,1
89,9.57,16
88,23.76,9
27,71.28,10
43,65.34,10
114,17.82,0
65,35.64,15
110,10.64,16
11,12.54,11
24,12.54,4
85,9.57,16
44,41.42,15
67,17.82,15
157,41.58,8
48,11.88,16
33,65.34,10
156,41.58,8
80,23.76,15
92,53.46,5
182,5.94,14
107,41.58,9
16,14.44,4
29,83.16,10
55,35.64,15
128,53.46,9
38,112.86,17
132,11.88,0
49,29.7,15
88,47.52,9
237,9.57,6
119,23.76,0
27,83.16,3
53,23.76,15
199,23.76,14
19,47.52,18
103,71.28,17
15,53.46,3
49,35.64,15
36,8.36,4
134,35.64,8
128,65.34,12
25,65.34,10
98,23.76,0
103,29.7,9
46,65.34,5
35,59.4,10
53,29.7,15
89,89.1,17
105,17.82,0
77,41.58,5
7,11.02,11
9,19.14,11
85,29.7,9
141,5.94,0
179,35.64,8
160,11.88,0
55,23.76,15
13,53.46,3
4,11.02,11
31,11.88,4
20,5.94,4
29,22.04,1
233,9.57,6
197,32.68,7
123,47.52,9
23,53.46,18
39,29.7,15
220,53.46,7
94,53.46,5
77,77.22,17
148,5.94,0
144,11.88,0
79,23.76,15
33,17.82,4
59,10.64,16
18,9.57,4
35,77.22,10
94,95.04,17
96,23.76,0
209,29.7,7
64,83.16,17
67,53.46,5
23,71.28,3
83,71.28,17
122,77.22,17
24,41.58,18
43,17.82,15
92,47.52,9
17,89.1,3
86,11.88,16
98,32.68,9
238,9.57,6
77,9.57,16
22,53.46,18
37,11.88,4
113,29.7,9
88,65.34,5
233,29.7,7
119,83.16,17
91,100.98,17
45,100.98,17
138,5.94,0
42,11.88,4
135,5.94,0
243,35.64,7
111,17.82,0
21,59.4,3
36,89.1,10
43,59.4,5
38,29.7,15
71,29.7,15
113,71.28,17
204,17.82,14
112,47.52,9
73,53.46,5
9,10.64,11
56,10.64,16
105,53.46,9
110,59.4,9
77,65.34,5
36,53.46,18
19,11.88,4
99,23.76,0
49,41.58,5
89,83.16,17
77,29.7,15
95,47.52,9
64,29.7,15
91,41.58,9
72,29.7,15
34,29.7,15
58,35.64,15
88,89.1,17
90,77.22,17
94,17.82,0
15,83.16,3
62,9.57,16
35,49.4,18
98,71.28,17
82,83.16,17
27,5.94,4
88,17.82,0
43,29.7,15
86,41.58,9
73,47.52,5
8,10.64,11
82,11.02,16
65,59.4,5
81,65.34,5
8,47.52,3
49,65.34,5
133,5.94,0
227,41.58,7
26,65.34,10
78,5.94,16
85,17.82,0
41,41.58,15
39,65.34,10
44,32.68,15
22,32.68,1
15,35.64,1
91,89.1,17
29,65.34,10
43,5.94,4
63,41.58,5
80,59.4,5
48,10.64,16
116,35.64,9
159,47.52,8
131,59.4,12
26,53.46,18
224,41.58,7
83,11.88,16
61,47.52,5
68,23.76,15
174,53.46,7
44,35.64,15
14,65.34,3
28,59.4,10
241,11.88,6
95,23.76,0
33,77.22,10
54,5.94,16
41,11.88,4
200,29.7,14
40,41.58,15
26,36.1,1
66,59.4,5
46,9.57,16
41,47.52,5
104,35.64,9
71,35.64,15
29,35.64,1
51,29.7,15
35,11.88,4
34,83.16,10
